股票代码,股票名称,目标价,最新评级,评级机构,分析师,行业,评级日期
300750,宁德时代,,买入,长江证券,"邬博华,叶之楠,曹海花",,2025-08-15
300750,宁德时代,313.11,买入,交银国际,,,2025-08-13
300750,宁德时代,363.18,买入,国投证券,"王倜,赵皓",,2025-08-13
300750,宁德时代,,买入,中信建投证券,许琳,,2025-08-12
300750,宁德时代,,增持,长城证券,"于夕朦,吴念峻",,2025-08-12
300750,宁德时代,,买入,开源证券,"殷晟路,王嘉懿",,2025-08-12
300750,宁德时代,313.11,买入,交银国际,,,2025-08-11
300750,宁德时代,,买入,平安证券,"张之尧,皮秀",,2025-08-10
300750,宁德时代,,买入,国信证券,"李恒源,李全,袁阳,王晓声,王蔚祺,徐文辉",,2025-08-10
300750,宁德时代,,买入,财信证券,杨鑫,,2025-08-08
300750,宁德时代,341.22,买入,华泰证券,"申建国,边文姣",,2025-08-08
300750,宁德时代,319.0,买入,中金公司,"张若熙,季枫,曲昊源,李茂正",,2025-08-08
300750,宁德时代,,买入,东吴证券,曾朵红,,2025-08-08
300750,宁德时代,,买入,华安证券,"张志邦,刘千琳",,2025-08-08
300750,宁德时代,,买入,西部证券,"杨敬梅,朱北岑",,2025-08-07
300750,宁德时代,362.69,买入,华创证券,何家金,,2025-08-07
300750,宁德时代,,买入,国盛证券,"林卓欣,杨润思",,2025-08-06
300750,宁德时代,,增持,方正证券,"郭彦辰,张陆佳",,2025-08-05
300750,宁德时代,,买入,兴业证券,"李峰,王帅",,2025-08-05
300750,宁德时代,,买入,西南证券,"韩晨,王兴网",,2025-08-04
300750,宁德时代,,买入,国联民生证券,张磊,,2025-08-04
300750,宁德时代,,买入,华福证券,"邓伟,游宝来",,2025-08-04
300750,宁德时代,322.9,买入,华兴证券,王一鸣,,2025-08-03
300750,宁德时代,,增持,中原证券,牟国洪,,2025-08-02
300750,宁德时代,319.0,买入,中金公司,"曲昊源,于寒,王颖东,李茂正",,2025-08-01
300750,宁德时代,,买入,光大证券,"殷中枢,陈无忌",,2025-08-01
300750,宁德时代,,买入,国信证券,李全,,2025-08-01
300750,宁德时代,341.22,买入,华泰证券,"申建国,陈爽,边文姣",,2025-08-01
300750,宁德时代,313.11,买入,交银国际,,,2025-08-01
300750,宁德时代,,买入,民生证券,"邓永康,李孝鹏,席子屹",,2025-07-31
300750,宁德时代,,买入,东莞证券,黄秀瑜,,2025-07-31
300750,宁德时代,,买入,申万宏源研究,"马天一,曾子栋",,2025-07-31
300750,宁德时代,,买入,东莞证券,黄秀瑜,,2025-07-31
300750,宁德时代,,买入,国信证券,"王蔚祺,徐文辉,李恒源",,2025-07-31
300750,宁德时代,340.24,买入,华泰证券,"申建国,边文姣",,2025-07-31
300750,宁德时代,,买入,国金证券,姚遥,,2025-07-31
300750,宁德时代,,买入,银河证券,"段尚昌,曾韬",,2025-07-31
300750,宁德时代,439.0,买入,东吴证券,"阮巧燕,曾朵红,岳斯瑶,朱家佟",,2025-07-31
300750,宁德时代,319.0,买入,中金公司,"刘烁,李茂正,季枫,曲昊源,江鹏,于寒,刘倩文,杜懿臻,王颖东",,2025-07-25
300750,宁德时代,,买入,国盛证券,杨润思,,2025-07-25
300750,宁德时代,,买入,民生证券,"李佳,李孝鹏,林誉韬,朱碧野,赵丹,王一如,邓永康,席子屹,郝元斌,许浚哲",,2025-07-22
300750,宁德时代,,买入,开源证券,"殷晟路,王嘉懿",,2025-07-21
300750,宁德时代,,买入,财信证券,杨鑫,,2025-07-18
300750,宁德时代,319.0,买入,中金公司,"李茂正,季枫,曲昊源",,2025-07-16
300750,宁德时代,313.11,买入,交银国际,,,2025-07-14
300750,宁德时代,,买入,东吴证券,曾朵红,,2025-07-13
300750,宁德时代,,买入,国信证券,"袁阳,王晓声,李全,徐文辉,李恒源,王蔚祺",,2025-07-11
300750,宁德时代,319.0,买入,中金公司,"季枫,曲昊源,李茂正",,2025-07-10
300750,宁德时代,313.11,买入,交银国际,,,2025-07-09
300750,宁德时代,,买入,国泰海通证券,"徐强,李依雯",,2025-07-08
300750,宁德时代,,买入,国泰海通证券,"徐强,马铭宏",,2025-07-04
300750,宁德时代,313.11,买入,交银国际,,,2025-07-02
300750,宁德时代,,买入,国泰海通证券,"孔淑媛,徐强,牟俊宇",,2025-07-01
300750,宁德时代,,买入,国联民生证券,张磊,,2025-06-30
300750,宁德时代,340.24,买入,华泰证券,"边文姣,申建国",,2025-06-30
300750,宁德时代,,买入,东莞证券,黄秀瑜,,2025-06-26
300750,宁德时代,,买入,国信证券,"李全,王蔚祺",,2025-06-26
300750,宁德时代,,买入,国泰海通证券,"牟俊宇,李依雯,徐强",,2025-06-23
300750,宁德时代,,买入,银河证券,"段尚昌,曾韬",,2025-06-22
300750,宁德时代,340.24,买入,华泰证券,"边文姣,周敦伟,申建国,陈爽",,2025-06-19
300750,宁德时代,340.24,买入,华泰证券,"申建国,周敦伟,边文姣",,2025-06-19
300750,宁德时代,,买入,开源证券,殷晟路,,2025-06-17
300750,宁德时代,,增持,中原证券,牟国洪,,2025-06-17
300750,宁德时代,340.24,买入,华泰证券,"申建国,边文姣",,2025-06-14
300750,宁德时代,,买入,财信证券,杨鑫,,2025-06-13
300750,宁德时代,313.11,买入,交银国际,,,2025-06-12
300750,宁德时代,,买入,国信证券,"王晓声,李恒源,李全,王蔚祺,徐文辉,袁阳",,2025-06-12
300750,宁德时代,,买入,东吴证券,"阮巧燕,曾朵红",,2025-06-11
300750,宁德时代,313.11,买入,交银国际,,,2025-06-10
300750,宁德时代,366.62,买入,广发证券,"纪成炜,陈子坤",,2025-06-10
300750,宁德时代,,买入,中泰证券,"朱柏睿,赵宇鹏,曾彪,吴鹏",,2025-06-09
300750,宁德时代,313.11,买入,交银国际,,,2025-06-06
300750,宁德时代,,买入,国泰海通证券,"徐强,牟俊宇,孔淑媛",,2025-06-05
300750,宁德时代,,买入,东吴证券,"曾朵红,阮巧燕",,2025-06-03
300750,宁德时代,340.24,买入,华泰证券,"申建国,边文姣",,2025-05-31
300750,宁德时代,,买入,民生证券,"李佳,李孝鹏,朱碧野,王一如,林誉韬,邓永康,赵丹,席子屹,郝元斌,许浚哲,黎静",,2025-05-30
300750,宁德时代,,买入,兴业证券,"孙曌续,武圣豪,李峰,王帅",,2025-05-23
300750,宁德时代,,买入,开源证券,殷晟路,,2025-05-21
300750,宁德时代,329.0,增持,群益证券(香港),,,2025-05-21
300750,宁德时代,313.49,买入,华泰证券,"陈爽,边文姣,申建国",,2025-05-21
300750,宁德时代,340.24,买入,华泰证券,"边文姣,陈爽,申建国",,2025-05-21
300750,宁德时代,,买入,中银证券,"武佳雄,顾真,李扬",,2025-05-20
300750,宁德时代,,增持,中原证券,牟国洪,,2025-05-20
300750,宁德时代,,买入,开源证券,殷晟路,,2025-05-19
300750,宁德时代,,买入,财信证券,杨鑫,,2025-05-16
300750,宁德时代,,买入,国信证券,"王蔚祺,王晓声,李恒源,徐文辉,袁阳,李全",,2025-05-16
300750,宁德时代,313.49,买入,华泰证券,"申建国,周敦伟,陈爽,边文姣",,2025-05-15
300750,宁德时代,313.11,买入,交银国际,,,2025-05-15
300750,宁德时代,313.11,买入,交银国际,,,2025-05-15
300750,宁德时代,,买入,开源证券,殷晟路,,2025-05-14
300750,宁德时代,,买入,东莞证券,黄秀瑜,,2025-05-12
300750,宁德时代,,买入,中泰证券,"吴鹏,曾彪,赵宇鹏,朱柏睿",,2025-05-12
300750,宁德时代,,买入,国泰海通证券,"徐柏乔,徐强,孔淑媛",,2025-05-09
300750,宁德时代,,买入,平安证券,"皮秀,张之尧",,2025-05-09
300750,宁德时代,366.62,买入,广发证券,"陈子坤,纪成炜",,2025-05-08
300750,宁德时代,313.49,买入,华泰证券,"申建国,陈爽,周敦伟,边文姣",,2025-05-07
300750,宁德时代,,买入,民生证券,"李佳,王一如,林誉韬,郝元斌,邓永康,朱碧野,李孝鹏,席子屹,许浚哲,赵丹",,2025-05-07
300750,宁德时代,,买入,民生证券,"李孝鹏,朱碧野,席子屹,郝元斌,林誉韬,邓永康,王一如,李佳,黎静,赵丹,许浚哲",,2025-05-06
300750,宁德时代,,买入,东莞证券,黄秀瑜,,2025-04-30
300750,宁德时代,313.49,买入,华泰证券,"边文姣,申建国",,2025-04-30
300750,宁德时代,,买入,西南证券,韩晨,,2025-04-29
300750,宁德时代,,买入,财信证券,杨鑫,,2025-04-25
300750,宁德时代,,买入,华福证券,"邓伟,游宝来",,2025-04-24
300750,宁德时代,368.25,买入,华创证券,"何家金,黄麟",,2025-04-23
300750,宁德时代,,买入,开源证券,殷晟路,,2025-04-22
300750,宁德时代,309.95,买入,华泰证券,"申建国,陈爽,边文姣",,2025-04-22
300750,宁德时代,,买入,兴业证券,"李峰,王帅",,2025-04-22
300750,宁德时代,330.35,买入,国泰海通证券,"徐强,余玫翰",,2025-04-22
300750,宁德时代,,买入,信达证券,武浩,,2025-04-22
300750,宁德时代,,买入,山西证券,"肖索,杜羽枢",,2025-04-21
300750,宁德时代,,买入,招商证券,"吕昊,游家训",,2025-04-21
300750,宁德时代,,增持,长城证券,梅芸,,2025-04-18
300750,宁德时代,,买入,银河证券,"段尚昌,曾韬",,2025-04-18
300750,宁德时代,,买入,财信证券,杨鑫,,2025-04-18
300750,宁德时代,,买入,开源证券,殷晟路,,2025-04-18
300750,宁德时代,,买入,财信证券,杨鑫,,2025-04-18
300750,宁德时代,,买入,长江证券,"曹海花,邬博华,叶之楠",,2025-04-18
300750,宁德时代,275.46,增持,群益证券(香港),,,2025-04-16
300750,宁德时代,297.76,买入,华兴证券,王一鸣,,2025-04-16
300750,宁德时代,,买入,国信证券,"袁阳,王晓声,王蔚祺,李恒源,李全,徐文辉",,2025-04-16
300750,宁德时代,309.57,买入,交银国际,,,2025-04-16
300750,宁德时代,,买入,国信证券,李全,,2025-04-16
300750,宁德时代,,买入,国联民生证券,"瞿学迁,张磊",,2025-04-16
300750,宁德时代,,买入,西部证券,"杨敬梅,刘小龙,侯立森",,2025-04-16
300750,宁德时代,416.46,买入,东吴证券,"曾朵红,阮巧燕,朱家佟",,2025-04-16
300750,宁德时代,311.08,买入,华泰证券,"边文姣,申建国,陈爽",,2025-04-15
300750,宁德时代,,买入,东莞证券,黄秀瑜,,2025-04-15
300750,宁德时代,,买入,财信证券,杨鑫,,2025-04-15
300750,宁德时代,,买入,国金证券,姚遥,,2025-04-15
300750,宁德时代,315.46,买入,中金公司,"王颖东,季枫,于寒,李茂正",,2025-04-15
300750,宁德时代,,买入,民生证券,"邓永康,李孝鹏,席子屹",,2025-04-15
300750,宁德时代,309.57,买入,交银国际,,,2025-04-15
300750,宁德时代,309.57,买入,交银国际,,,2025-04-10
300750,宁德时代,363.08,买入,广发证券,"高翔,纪成炜,陈子坤,陈昕",,2025-04-09
300750,宁德时代,315.46,买入,中金公司,"王颖东,季枫,于寒,李茂正",,2025-04-08
300750,宁德时代,309.57,买入,交银国际,,,2025-04-08
300750,宁德时代,,买入,天风证券,"孙潇雅,张童童",,2025-04-07
300750,宁德时代,,买入,中泰证券,"朱柏睿,赵宇鹏,吴鹏,曾彪",,2025-04-07
300750,宁德时代,309.57,买入,交银国际,,,2025-04-03
300750,宁德时代,,买入,华安证券,"张志邦,刘千琳",,2025-04-01
300750,宁德时代,,买入,东吴证券,"阮巧燕,曾朵红",,2025-04-01
300750,宁德时代,315.46,买入,招商证券,"陈宇超,游家训",,2025-03-31
300750,宁德时代,369.21,买入,华泰证券,"申建国,边文姣",,2025-03-31
300750,宁德时代,416.46,买入,东吴证券,"阮巧燕,曾朵红",,2025-03-30
300750,宁德时代,,买入,兴业证券,"王帅,李峰",,2025-03-29
300750,宁德时代,,买入,国泰君安,"徐强,牟俊宇",,2025-03-27
300750,宁德时代,,买入,中银证券,武佳雄,,2025-03-26
300750,宁德时代,,买入,平安证券,"皮秀,张之尧",,2025-03-26
300750,宁德时代,,买入,中泰证券,"曾彪,朱柏睿",,2025-03-26
300750,宁德时代,364.71,买入,华创证券,"黄麟,何家金",,2025-03-25
300750,宁德时代,,增持,中邮证券,虞洁攀,,2025-03-24
300750,宁德时代,353.78,买入,东方证券,"朱洪羽,李梦强,杨雨浓",,2025-03-21
300750,宁德时代,,买入,国海证券,李航,,2025-03-21
300750,宁德时代,,增持,中原证券,牟国洪,,2025-03-20
300750,宁德时代,,买入,长江证券,"邬博华,曹海花,叶之楠",,2025-03-20
300750,宁德时代,,买入,财信证券,杨鑫,,2025-03-20
300750,宁德时代,297.76,买入,华兴证券,王一鸣,,2025-03-19
300750,宁德时代,315.46,买入,中金公司,"季枫,于寒,李茂正,王颖东",,2025-03-19
300750,宁德时代,309.57,买入,交银国际,,,2025-03-18
300750,宁德时代,,增持,长城证券,梅芸,,2025-03-18
300750,宁德时代,,买入,光大证券,"殷中枢,陈无忌",,2025-03-18
300750,宁德时代,303.46,增持,群益证券(香港),,,2025-03-18
300750,宁德时代,,增持,财通证券,张一弛,,2025-03-18
300750,宁德时代,,买入,国信证券,李全,,2025-03-18
300750,宁德时代,347.24,买入,海通证券,"余玫翰,徐柏乔,马天一",,2025-03-18
300750,宁德时代,,买入,申万宏源研究,"朱栋,曾子栋",,2025-03-17
300750,宁德时代,,买入,东莞证券,黄秀瑜,,2025-03-17
300750,宁德时代,,买入,西部证券,"杨敬梅,侯立森,刘小龙",,2025-03-17
300750,宁德时代,,买入,国盛证券,"林卓欣,杨润思",,2025-03-17
300750,宁德时代,,买入,民生证券,"李孝鹏,席子屹,邓永康",,2025-03-16
300750,宁德时代,,买入,国联民生证券,"瞿学迁,张磊",,2025-03-16
300750,宁德时代,369.21,买入,华泰证券,"陈爽,边文姣,申建国",,2025-03-16
300750,宁德时代,416.46,买入,东吴证券,"曾朵红,阮巧燕,朱家佟",,2025-03-16
300750,宁德时代,,买入,国金证券,姚遥,,2025-03-15
300750,宁德时代,309.57,买入,交银国际,,,2025-03-14
300750,宁德时代,,买入,财信证券,杨鑫,,2025-03-13
300750,宁德时代,,买入,国信证券,"王蔚祺,徐文辉,李恒源,李全,袁阳,王晓声",,2025-03-11
300750,宁德时代,,买入,中泰证券,"吴鹏,曾彪,朱柏睿,赵宇鹏",,2025-03-10
300750,宁德时代,,买入,招商证券,"陈宇超,游家训",,2025-03-03
300750,宁德时代,377.31,买入,华泰证券,"申建国,边文姣",,2025-03-03
300750,宁德时代,,买入,国泰君安,"牟俊宇,徐强",,2025-03-01
300750,宁德时代,,买入,财信证券,杨鑫,,2025-02-21
300750,宁德时代,309.57,买入,交银国际,,,2025-02-20
